,DNA
0,921
1,921
2,921
3,921
4,921
5,921
6,921
7,309
8,309
9,309
10,309
11,309
12,309
13,309
14,309
15,309
16,309
17,309
18,368
19,368
20,368
21,368
22,368
23,368
24,368
25,368
26,368
27,368
28,368
29,368
30,368
31,1209
32,1209
33,1209
34,1209
35,1209
36,1209
37,1209
38,1209
39,1209
40,1209
41,885
42,885
43,885
44,885
45,885
46,885
47,885
48,885
49,885
50,885
51,885
52,885
53,885
54,885
55,169
56,169
57,169
58,169
59,169
60,169
61,169
62,169
63,169
64,1027
65,1027
66,1027
67,1027
68,1027
69,1027
70,1027
71,1027
72,1027
73,1027
74,1027
75,1027
76,1027
77,1027
78,1027
79,1027
80,1027
81,1027
82,1169
83,1169
84,1169
85,1169
86,1169
87,1169
88,1169
89,1169
90,1169
91,1169
92,1169
93,1169
94,808
95,808
96,808
97,808
98,808
99,808
100,808
101,808
102,808
103,808
104,1062
105,1062
106,1062
107,1062
108,1062
109,1062
110,1062
111,1062
112,1062
113,1062
114,1062
115,1062
116,1062
117,1062
118,1062
119,1062
120,1062
