id,labels
1,6.67E+02
2,8.00E+00
3,2.05E+02
4,4.62E+02
5,-1.00E+00
6,1.80E+01
7,1.36E+02
8,4.51E+02
9,-1.00E+00
10,1.11E+03
11,4.43E+02
12,2.28E+02
13,1.09E+03
14,-1.00E+00
15,1.35E+02
16,-1.00E+00
17,3.27E+02
18,3.38E+02
19,7.88E+02
20,-1.00E+00
21,7.69E+02
22,6.41E+02
23,1.08E+03
24,2.42E+02
25,-1.00E+00
26,6.90E+02
27,5.03E+02
28,7.04E+02
29,4.29E+02
30,7.12E+02
31,4.13E+02
32,2.34E+02
33,6.19E+02
34,8.00E+02
35,1.06E+03
36,1.06E+03
37,1.06E+03
38,1.62E+02
39,1.18E+03
40,9.46E+02
41,1.38E+02
42,8.70E+02
43,5.29E+02
44,-1.00E+00
45,6.16E+02
46,1.17E+03
47,9.65E+02
48,5.88E+02
49,1.16E+03
50,7.30E+01
51,9.64E+02
52,-1.00E+00
53,-1.00E+00
54,2.38E+02
55,7.13E+02
56,5.49E+02
57,5.50E+02
58,1.79E+02
59,1.16E+03
60,1.04E+03
61,1.01E+03
62,9.30E+01
63,1.03E+03
64,6.43E+02
65,1.23E+02
66,2.90E+02
67,1.07E+03
68,2.52E+02
69,6.25E+02
70,9.21E+02
71,7.09E+02
72,1.03E+03
73,1.26E+02
74,8.70E+02
75,8.31E+02
76,5.61E+02
77,3.29E+02
78,4.07E+02
79,4.86E+02
80,1.13E+03
81,7.64E+02
82,4.41E+02
83,2.16E+02
84,2.19E+02
85,9.86E+02
86,5.55E+02
87,8.67E+02
88,1.17E+03
89,6.05E+02
90,2.30E+01
91,7.26E+02
92,3.23E+02
93,4.89E+02
94,2.50E+02
95,7.42E+02
96,7.10E+01
97,9.64E+02
98,1.20E+02
99,8.78E+02
100,-1.00E+00
101,7.88E+02
102,1.85E+02
103,2.91E+02
104,3.99E+02
105,9.68E+02
106,4.83E+02
107,4.94E+02
108,8.19E+02
109,3.37E+02
110,8.32E+02
111,2.18E+02
112,6.25E+02
113,-1.00E+00
114,-1.00E+00
115,1.17E+03
116,5.42E+02
117,1.25E+02
118,-1.00E+00
119,1.05E+03
120,4.85E+02
121,3.85E+02
122,1.68E+02
123,3.78E+02
124,5.39E+02
125,-1.00E+00
126,1.06E+02
127,6.13E+02
128,1.19E+03
129,9.57E+02
130,-1.00E+00
131,-1.00E+00
132,1.03E+03
133,6.98E+02
134,1.05E+03
135,1.13E+03
136,7.32E+02
137,-1.00E+00
138,-1.00E+00
139,1.13E+03
140,-1.00E+00
141,1.97E+02
142,4.44E+02
143,3.28E+02
144,7.87E+02
145,6.86E+02
146,1.13E+03
147,-1.00E+00
148,5.40E+01
149,7.47E+02
150,4.03E+02
151,1.16E+03
152,9.07E+02
153,6.40E+01
154,6.88E+02
155,-1.00E+00
156,3.25E+02
157,1.03E+03
158,9.83E+02
159,2.40E+02
160,2.58E+02
161,4.06E+02
162,1.11E+02
163,4.93E+02
164,9.24E+02
165,1.21E+03
166,3.28E+02
167,4.54E+02
168,9.24E+02
169,4.50E+01
170,2.66E+02
171,4.32E+02
172,1.01E+03
173,1.88E+02
174,1.03E+03
175,1.19E+03
176,1.11E+03
177,1.21E+03
178,1.21E+03
179,1.15E+02
180,7.34E+02
181,1.86E+02
182,6.88E+02
183,4.50E+01
184,9.83E+02
185,1.07E+03
186,2.50E+02
187,3.04E+02
188,6.60E+02
189,7.87E+02
190,1.11E+03
191,-1.00E+00
192,-1.00E+00
193,5.16E+02
194,7.21E+02
195,9.11E+02
196,6.73E+02
197,1.50E+02
198,1.00E+01
199,2.05E+02
200,1.68E+02
201,4.73E+02
202,4.74E+02
203,1.18E+03
204,2.10E+01
205,8.27E+02
206,-1.00E+00
207,1.19E+03
208,9.01E+02
209,9.76E+02
210,-1.00E+00
211,1.00E+03
212,1.00E+03
213,-1.00E+00
214,4.21E+02
215,1.18E+03
216,5.04E+02
217,4.83E+02
218,5.58E+02
219,2.61E+02
220,1.05E+03
221,-1.00E+00
222,9.67E+02
223,2.75E+02
224,1.07E+03
225,1.47E+02
226,2.13E+02
227,-1.00E+00
228,-1.00E+00
229,8.80E+02
230,8.68E+02
231,1.04E+03
232,7.16E+02
233,4.70E+01
234,4.52E+02
235,8.91E+02
236,8.33E+02
237,4.23E+02
238,1.06E+02
239,5.28E+02
240,1.16E+02
241,-1.00E+00
242,5.25E+02
243,8.60E+02
244,-1.00E+00
245,1.19E+03
246,9.22E+02
247,-1.00E+00
248,9.06E+02
249,1.04E+03
250,4.90E+02
251,-1.00E+00
252,3.40E+01
253,6.93E+02
254,4.05E+02
255,-1.00E+00
256,8.89E+02
257,2.35E+02
258,7.96E+02
259,2.91E+02
260,9.37E+02
261,7.92E+02
262,-1.00E+00
263,-1.00E+00
264,1.13E+03
265,7.79E+02
266,7.26E+02
267,1.12E+03
268,2.88E+02
269,9.00E+00
270,7.17E+02
271,7.32E+02
272,1.06E+03
273,1.06E+03
274,6.81E+02
275,2.18E+02
276,3.81E+02
277,8.70E+02
278,1.05E+03
279,2.08E+02
280,1.16E+03
281,3.08E+02
282,6.76E+02
283,9.53E+02
284,-1.00E+00
285,1.26E+02
286,-1.00E+00
287,8.00E+02
288,2.03E+02
289,9.24E+02
290,1.17E+03
291,5.35E+02
292,2.06E+02
293,8.70E+02
294,7.21E+02
295,2.46E+02
296,1.13E+03
297,-1.00E+00
298,-1.00E+00
299,1.08E+03
300,5.62E+02
301,7.00E+00
302,-1.00E+00
303,-1.00E+00
304,8.90E+01
305,8.91E+02
306,7.35E+02
307,4.93E+02
308,2.53E+02
309,3.30E+01
310,3.87E+02
311,1.04E+03
312,1.13E+03
313,1.09E+03
314,8.01E+02
315,-1.00E+00
316,1.84E+02
317,8.84E+02
318,6.00E+01
319,3.79E+02
320,7.06E+02
321,7.96E+02
322,6.97E+02
323,6.13E+02
324,8.62E+02
325,7.34E+02
326,7.53E+02
327,2.10E+02
328,4.59E+02
329,4.10E+01
330,5.10E+02
331,6.62E+02
332,1.05E+03
333,4.62E+02
334,-1.00E+00
335,7.85E+02
336,1.20E+03
337,6.53E+02
338,5.99E+02
339,1.15E+02
340,5.47E+02
341,2.55E+02
342,2.31E+02
343,8.91E+02
344,1.20E+03
345,-1.00E+00
346,4.67E+02
347,3.10E+02
348,1.16E+03
349,5.00E+00
350,1.59E+02
351,5.81E+02
352,8.27E+02
353,-1.00E+00
354,5.10E+02
355,9.30E+02
356,2.08E+02
357,7.93E+02
358,9.79E+02
359,2.62E+02
360,-1.00E+00
361,1.03E+03
362,3.14E+02
363,1.21E+03
364,8.42E+02
365,3.72E+02
366,1.11E+03
367,1.04E+03
368,1.12E+03
369,6.25E+02
370,1.13E+03
371,1.70E+02
372,1.68E+02
373,1.19E+03
374,6.25E+02
375,-1.00E+00
376,7.24E+02
377,4.08E+02
378,1.19E+03
379,1.08E+03
380,1.06E+03
381,4.06E+02
382,6.24E+02
383,1.55E+02
384,-1.00E+00
385,5.66E+02
386,4.21E+02
387,8.98E+02
388,1.36E+02
389,6.00E+00
390,1.64E+02
391,4.76E+02
392,1.04E+03
393,-1.00E+00
394,5.52E+02
395,-1.00E+00
396,3.45E+02
397,-1.00E+00
398,1.30E+01
399,5.47E+02
400,-1.00E+00
401,6.99E+02
402,1.17E+03
403,1.72E+02
404,-1.00E+00
405,5.50E+01
406,9.95E+02
407,2.26E+02
408,6.86E+02
409,1.01E+03
410,-1.00E+00
411,7.79E+02
412,1.07E+03
413,5.44E+02
414,6.86E+02
415,1.88E+02
416,5.72E+02
417,6.27E+02
418,7.86E+02
419,6.25E+02
420,8.70E+01
421,1.03E+02
422,2.55E+02
423,1.21E+03
424,8.92E+02
425,1.22E+02
426,-1.00E+00
427,3.23E+02
428,8.36E+02
429,6.32E+02
430,6.64E+02
431,1.12E+03
432,4.23E+02
433,3.10E+02
434,2.15E+02
435,3.13E+02
436,-1.00E+00
437,4.52E+02
438,1.18E+03
439,9.56E+02
440,6.25E+02
441,1.60E+01
442,7.33E+02
443,9.80E+02
444,3.00E+01
445,8.45E+02
446,1.44E+02
447,4.36E+02
448,1.19E+03
449,4.79E+02
450,2.50E+01
451,5.14E+02
452,7.44E+02
453,9.45E+02
454,2.40E+01
455,5.76E+02
456,1.76E+02
457,-1.00E+00
458,7.04E+02
459,6.50E+02
460,9.70E+01
461,8.37E+02
462,-1.00E+00
463,3.52E+02
464,7.90E+02
465,5.51E+02
466,1.20E+03
467,8.71E+02
468,1.21E+03
469,3.25E+02
470,6.78E+02
471,1.06E+03
472,3.83E+02
473,5.53E+02
474,-1.00E+00
475,4.80E+02
476,5.34E+02
477,9.76E+02
478,1.08E+03
479,6.05E+02
480,-1.00E+00
481,8.69E+02
482,2.79E+02
483,1.15E+02
484,-1.00E+00
485,7.65E+02
486,-1.00E+00
487,6.24E+02
488,7.20E+01
489,1.45E+02
490,7.53E+02
491,1.14E+03
492,9.93E+02
493,2.93E+02
494,3.65E+02
495,1.99E+02
496,-1.00E+00
497,-1.00E+00
498,6.11E+02
499,1.65E+02
500,6.87E+02
501,4.79E+02
502,6.99E+02
503,6.52E+02
